id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Slide,Deochii,R&B,smooth,0.62,90,0.75,0.68,0.55
2,Body,Don Toliver,Hip-Hop,chill,0.71,95,0.66,0.78,0.42
3,Talk,DJ Khalid,Pop,romantic,0.63,88,0.8,0.74,0.47
4,Passionfruit,Drake,Pop,sad,0.55,112,0.65,0.64,0.5
5,Evil Jordan,Playboi Carti,Rap,intense,0.87,130,0.42,0.56,0.28
6,Yukon,Justin Bieber,Pop,dreamy,0.58,100,0.72,0.69,0.49
7,12 to 12,Sombr,Electronic,vibey,0.77,128,0.78,0.82,0.35
8,Sincerity,Sailor,Indie,peaceful,0.48,76,0.85,0.6,0.77
9,Cavier,Jaydon,R&B,luxurious,0.65,96,0.73,0.71,0.46
10,Greedy,Ariana Grande,Pop,confident,0.79,120,0.68,0.75,0.41
